index,reason,sl
19617,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.2;disp_monotone_up_true;disp_avg_change<;max_disp>0.4;min_disp>0.3,0
19628,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail<;up_strick_1;down_strick_0;trend_len_middle;trend_max_ampl>0.01;trend_kind_up;prev_t_kind_down;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp<,0
19633,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp<,0
19657,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change>0.3;max_disp>0.6;min_disp>0.3,0
19681,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp>0.2,0
19695,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp>0.3,0
19704,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp>0.3,1
19739,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.4;min_disp<,0
19761,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp>0.1,0
19800,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_2;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_down;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp>0.2,0
19806,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp<,0
19810,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp>0.1,0
19818,extreme_disp_few;avg_ampl_gt_limit>0.013;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp<,1
