index,reason,sl
72707,extreme_disp_moderate;avg_ampl_gt_limit<;avg_disp_tail>0.5;up_strick_0;down_strick_2;trend_len_long;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_down;max_disp_change<;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp<,0
72724,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_1;down_strick_0;trend_len_middle;trend_max_ampl>0.01;trend_kind_up;prev_t_kind_down;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
72805,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,1
72809,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp>0.1,0
72819,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_1;down_strick_0;trend_len_middle;trend_max_ampl<;trend_kind_up;prev_t_kind_down;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
72876,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
72903,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp>0.1,0
72925,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp>0.1,0
72984,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp<,0
72993,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp>0.1,1
73005,extreme_disp_moderate;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change<;max_disp>0.6;min_disp>0.1,0
73033,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73048,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp<,0
73051,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.2;disp_monotone_up_true;disp_avg_change<;max_disp>0.6;min_disp>0.3,0
73057,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.2;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp>0.3,0
73058,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_1;down_strick_0;trend_len_short;trend_max_ampl>0.01;trend_kind_up;prev_t_kind_down;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change>0.3;max_disp>0.4;min_disp>0.2,0
73062,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_1;down_strick_0;trend_len_short;trend_max_ampl>0.01;trend_kind_up;prev_t_kind_down;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.4;min_disp<,1
73072,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_2;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_down;max_disp_change<;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp>0.2,1
73080,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.5;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp>0.1,1
73082,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp>0.1,0
73095,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_1;down_strick_0;trend_len_short;trend_max_ampl<;trend_kind_up;prev_t_kind_down;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp>0.1,0
73117,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,1
73125,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp<,1
73126,extreme_disp_moderate;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change<;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp<,0
73139,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change>0.3;max_disp>0.4;min_disp>0.1,0
73147,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_1;down_strick_0;trend_len_short;trend_max_ampl<;trend_kind_up;prev_t_kind_down;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp<,0
73207,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,1
73229,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_2;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_down;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,1
73241,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change<;max_disp>0.6;min_disp<,0
73262,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73338,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_1;down_strick_0;trend_len_long;trend_max_ampl<;trend_kind_up;prev_t_kind_down;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp<,0
73381,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change<;disp_monotone_up_true;disp_avg_change<;max_disp>0.4;min_disp>0.1,0
